,video,start,end,subtitle,include
177,IuVo4fnpLC8,"00:06:48,570","00:06:51,479",bipartisan support and the effect was,True
178,IuVo4fnpLC8,"00:08:18,270","00:08:19,680",their and what many conservatives would,True
179,IuVo4fnpLC8,"00:07:07,440","00:07:10,229",hole so the truth is the Postal,True
180,IuVo4fnpLC8,"00:11:45,240","00:11:49,460",help the Postal Service is a joke,False
181,IuVo4fnpLC8,"00:01:21,620","00:01:23,540",bring mail to every single household,True
182,IuVo4fnpLC8,"00:03:33,180","00:03:35,730",census year and a pandemic that has,True
183,IuVo4fnpLC8,"00:01:08,000","00:01:10,040",better that's a cake on a cake right,True
184,IuVo4fnpLC8,"00:17:18,929","00:17:22,020",favorite and now a stamp you can buy,True
185,IuVo4fnpLC8,"00:09:47,670","00:09:50,130",the internet to clarify you can download,True
186,IuVo4fnpLC8,"00:14:25,980","00:14:28,230",but the word priority stretched over,True
187,IuVo4fnpLC8,"00:12:11,610","00:12:15,840",with some of these companies and they,False
188,IuVo4fnpLC8,"00:02:22,950","00:02:24,599",workers right now as you probably know,True
189,IuVo4fnpLC8,"00:14:04,560","00:14:06,899",fashion line although as this youtuber,True
190,IuVo4fnpLC8,"00:04:35,740","00:04:37,630",regular thing you have to wonder why the,True
191,IuVo4fnpLC8,"00:05:02,590","00:05:04,900",makes from services and postage that,True
192,IuVo4fnpLC8,"00:06:17,920","00:06:19,540",aggressive obligation to set aside over,True
193,IuVo4fnpLC8,"00:08:38,789","00:08:40,409",profitable and in all likelihood,True
194,IuVo4fnpLC8,"00:04:18,150","00:04:23,729",okay first what second excuse me it's,True
195,IuVo4fnpLC8,"00:03:08,790","00:03:11,250",to and because of the ongoing pandemic,True
196,IuVo4fnpLC8,"00:12:29,490","00:12:32,210",this is the funniest rock of all time,True
197,IuVo4fnpLC8,"00:14:35,880","00:14:38,329",Enhancement Act of but look,True
198,IuVo4fnpLC8,"00:10:48,240","00:10:50,730",bought mine and I've got to say it's,True
199,IuVo4fnpLC8,"00:05:04,900","00:05:06,670",might help explain why over the years,True
200,IuVo4fnpLC8,"00:15:15,630","00:15:17,640",underbanked communities who are often,True
201,IuVo4fnpLC8,"00:01:42,320","00:01:44,000",have to eat or drink for a whole day,False
202,IuVo4fnpLC8,"00:12:52,140","00:12:53,730",everything else we've already discussed,True
203,IuVo4fnpLC8,"00:09:10,110","00:09:11,820",attitude towards rural Americans the,True
204,IuVo4fnpLC8,"00:07:53,789","00:07:57,570",because they innovate and cut costs okay,False
205,IuVo4fnpLC8,"00:02:32,819","00:02:35,790",every day I don't want to contract to,False
206,IuVo4fnpLC8,"00:10:53,370","00:10:54,900",funniest things about it is how,True
207,IuVo4fnpLC8,"00:14:00,029","00:14:02,399",bizarre partnership with forever,True
208,IuVo4fnpLC8,"00:03:15,359","00:03:17,879",postal service may be about to go broke,True
209,IuVo4fnpLC8,"00:11:19,890","00:11:22,530",because this guy has strongly opposed,True
210,IuVo4fnpLC8,"00:02:37,560","00:02:39,180",like you're at risk every time you go to,False
211,IuVo4fnpLC8,"00:07:34,650","00:07:36,720",like former Fox News commentator John,True
212,IuVo4fnpLC8,"00:06:06,820","00:06:09,130",law called the postal accountability and,True
213,IuVo4fnpLC8,"00:03:51,750","00:03:53,549",people together just listen to this,True
214,IuVo4fnpLC8,"00:04:29,640","00:04:31,169",that's plural meaning you've done it,True
215,IuVo4fnpLC8,"00:00:19,160","00:00:33,710",brilliantly ruining tip-top videos that,False
216,IuVo4fnpLC8,"00:15:51,420","00:15:52,139",annually,False
217,IuVo4fnpLC8,"00:01:10,040","00:01:12,230",there keep crushing tic TOCs you,True
218,IuVo4fnpLC8,"00:08:12,570","00:08:14,130",unsee it but they took it out because,True
219,IuVo4fnpLC8,"00:05:40,420","00:05:42,640",that simply says lace-making,True
220,IuVo4fnpLC8,"00:08:32,339","00:08:34,589",also those remote addresses that they,True
221,IuVo4fnpLC8,"00:01:27,950","00:01:30,020",Americans have relied on it for a,True
222,IuVo4fnpLC8,"00:13:53,970","00:13:55,620",dog look like it's performing a postal,True
223,IuVo4fnpLC8,"00:12:57,360","00:12:59,910",USPS to price parcel delivery below its,True
224,IuVo4fnpLC8,"00:13:43,829","00:13:45,660",main product which may actually help,True
225,IuVo4fnpLC8,"00:03:40,560","00:03:42,569",but the truth is it does very important,True
226,IuVo4fnpLC8,"00:10:39,420","00:10:41,880",Rock right there if the Postal Service,True
227,IuVo4fnpLC8,"00:12:39,240","00:12:41,310",those package delivery costs will almost,True
228,IuVo4fnpLC8,"00:09:25,440","00:09:27,960",to queer I Geraldo Rivera but it didn't,True
229,IuVo4fnpLC8,"00:06:40,330","00:06:42,700",place now in hindsight he seems like a,True
230,IuVo4fnpLC8,"00:04:39,520","00:04:42,820",you're always there the point is at the,True
231,IuVo4fnpLC8,"00:14:13,980","00:14:16,380",is any of this happening it's like yes I,False
232,IuVo4fnpLC8,"00:13:20,640","00:13:22,830",that appointment has worried worried,True
233,IuVo4fnpLC8,"00:02:35,790","00:02:37,560",bring it back to my family do you feel,False
234,IuVo4fnpLC8,"00:03:01,500","00:03:03,629",over a thousand postal workers have,True
235,IuVo4fnpLC8,"00:06:27,880","00:06:30,220",also limited its flexibility to raise,True
236,IuVo4fnpLC8,"00:16:49,440","00:16:51,720",American Idol sold stamps and veep and,True
237,IuVo4fnpLC8,"00:16:27,240","00:16:29,370",only should we be demanding that they,True
238,IuVo4fnpLC8,"00:14:38,329","00:14:41,100",branching out into fashion clearly won't,True
239,IuVo4fnpLC8,"00:02:55,980","00:02:59,730",will any of us die today LMFAO and those,True
240,IuVo4fnpLC8,"00:02:11,180","00:02:13,430",want a sympathy goose I mean sure your,True
241,IuVo4fnpLC8,"00:17:43,080","00:17:45,690",you hated it buy one anyway and mail me,True
242,IuVo4fnpLC8,"00:15:43,470","00:15:45,449",is also the largest Savings Bank in the,False
243,IuVo4fnpLC8,"00:11:16,110","00:11:17,730",the way of the USPS getting the federal,True
244,IuVo4fnpLC8,"00:03:25,139","00:03:27,510",USPS may not make it past September,True
245,IuVo4fnpLC8,"00:01:23,540","00:01:25,610",even transporting it to the bottom of,True
246,IuVo4fnpLC8,"00:03:27,510","00:03:29,220",without significant service,True
247,IuVo4fnpLC8,"00:12:48,030","00:12:50,130",sweetheart deals to lose money on every,True
248,IuVo4fnpLC8,"00:12:43,350","00:12:45,390",because their companies they don't give,True
249,IuVo4fnpLC8,"00:16:05,339","00:16:07,889",have such severe quarantine brain I,True
250,IuVo4fnpLC8,"00:12:53,730","00:12:57,360",that law made it illegal for the,True
251,IuVo4fnpLC8,"00:14:49,649","00:14:51,990",offer now experts suggest that the post,True
252,IuVo4fnpLC8,"00:01:31,670","00:01:33,710",country children often watch for the,False
253,IuVo4fnpLC8,"00:10:34,560","00:10:36,720",this one that says the grass is greener,True
254,IuVo4fnpLC8,"00:09:54,660","00:09:56,400",button this is very important you,True
255,IuVo4fnpLC8,"00:06:22,480","00:06:25,990",that in itself was a massive burden to,True
256,IuVo4fnpLC8,"00:13:08,820","00:13:10,650",its problems and that's not just,True
257,IuVo4fnpLC8,"00:02:42,090","00:02:43,980",everybody's mind there is a joke amongst,False
258,IuVo4fnpLC8,"00:09:11,820","00:09:13,500",incorrect assumption that email is a,True
259,IuVo4fnpLC8,"00:12:09,200","00:12:11,610",but for some reason they're very cozy,False
260,IuVo4fnpLC8,"00:16:45,569","00:16:48,420",actually get stamps made TV shows have,True
261,IuVo4fnpLC8,"00:16:36,389","00:16:38,790",there might actually be something small,True
262,IuVo4fnpLC8,"00:07:45,479","00:07:47,520",a business but real businesses can't,False
263,IuVo4fnpLC8,"00:09:45,270","00:09:47,670",can't actually download medicine from,True
264,IuVo4fnpLC8,"00:11:42,960","00:11:45,240",Postal Service should not get federal,True
265,IuVo4fnpLC8,"00:00:33,710","00:00:36,620",is excellent from the wave to the laughs,False
266,IuVo4fnpLC8,"00:03:30,620","00:03:33,180",especially during an election year a,True
267,IuVo4fnpLC8,"00:13:15,060","00:13:16,710",outgoing Postmaster General with this,True
268,IuVo4fnpLC8,"00:03:17,879","00:03:20,190",the outgoing Postmaster General recently,True
269,IuVo4fnpLC8,"00:00:43,699","00:00:46,070",take this one of an orange cat involved,True
270,IuVo4fnpLC8,"00:15:56,160","00:15:57,630",clips now isn't that they're in black,True
271,IuVo4fnpLC8,"00:06:11,050","00:06:12,970",that it required was for the USPS to,True
272,IuVo4fnpLC8,"00:06:37,720","00:06:40,330",as their income was basically locked in,True
273,IuVo4fnpLC8,"00:08:05,760","00:08:07,560",but did you know that for years they're,True
274,IuVo4fnpLC8,"00:12:37,050","00:12:39,240",Service quadruples prices on companies,True
275,IuVo4fnpLC8,"00:09:19,350","00:09:21,630",access to broadband internet or the,True
276,IuVo4fnpLC8,"00:01:12,230","00:01:15,050",national treasure the Postal,True
277,IuVo4fnpLC8,"00:13:45,660","00:13:47,940",explain some of their very weird side,True
278,IuVo4fnpLC8,"00:08:07,560","00:08:09,900",also used to be a swastika hidden in the,True
279,IuVo4fnpLC8,"00:07:38,400","00:07:40,620",government agencies are just naturally,True
280,IuVo4fnpLC8,"00:07:59,669","00:08:01,889",right that FedEx is pretty good at,True
281,IuVo4fnpLC8,"00:01:58,940","00:02:01,340",and turkeys which actually raises the,True
282,IuVo4fnpLC8,"00:04:46,840","00:04:48,880",so tonight we thought it might be worth,True
283,IuVo4fnpLC8,"00:16:58,170","00:17:00,540",Service badly needs we've actually been,True
284,IuVo4fnpLC8,"00:08:01,889","00:08:03,060",innovating for example you've probably,True
285,IuVo4fnpLC8,"00:14:23,459","00:14:25,980",of ten yeah when you're wearing nothing,False
286,IuVo4fnpLC8,"00:16:29,370","00:16:31,170",get that Congress should also take a,True
287,IuVo4fnpLC8,"00:06:51,479","00:06:53,639",almost immediate because the Postal,False
288,IuVo4fnpLC8,"00:02:53,040","00:02:55,980",or someone's microwaving fish again not,True
289,IuVo4fnpLC8,"00:05:48,610","00:05:50,830",laced stamp I'm just worried it might be,True
290,IuVo4fnpLC8,"00:12:41,310","00:12:43,350",certainly be passed on to the consumer,True
291,IuVo4fnpLC8,"00:16:43,860","00:16:45,569",generator for them and and you can,True
292,IuVo4fnpLC8,"00:07:36,720","00:07:38,400",Stossel hold it up as a sign that,True
293,IuVo4fnpLC8,"00:07:13,800","00:07:16,530",even the recession in fact it's,True
294,IuVo4fnpLC8,"00:04:37,630","00:04:39,520",neighborhood dogs keep dying and why,True
295,IuVo4fnpLC8,"00:13:33,810","00:13:36,690",thing is there are absolutely solutions,True
296,IuVo4fnpLC8,"00:05:06,670","00:05:08,620",it's often tried to encourage stamp,True
297,IuVo4fnpLC8,"00:01:52,730","00:01:55,040",still can the Postal Service will,True
298,IuVo4fnpLC8,"00:11:05,130","00:11:07,470",last leg of the delivery especially in,True
299,IuVo4fnpLC8,"00:13:30,899","00:13:33,810",one of Jeff Bezos his dick pics and the,True
300,IuVo4fnpLC8,"00:04:10,079","00:04:12,030",these people in this town more than I,False
301,IuVo4fnpLC8,"00:05:50,830","00:05:53,290",too cool and you might think that you,True
302,IuVo4fnpLC8,"00:15:09,420","00:15:11,339",generate revenue it could also help the,True
303,IuVo4fnpLC8,"00:10:29,730","00:10:31,980",mail out its rocks like this one that,True
304,IuVo4fnpLC8,"00:02:24,599","00:02:27,480",from seeing stories like these I am very,True
305,IuVo4fnpLC8,"00:16:03,029","00:16:05,339",fear of dying honestly at this point I,True
306,IuVo4fnpLC8,"00:01:51,050","00:01:52,730",through the mail and guess what you,True
307,IuVo4fnpLC8,"00:01:17,000","00:01:19,040",actually predates the founding of this,True
308,IuVo4fnpLC8,"00:02:30,569","00:02:32,819",point that I worry about coming to work,False
309,IuVo4fnpLC8,"00:02:59,730","00:03:01,500",fears are not misplaced,True
310,IuVo4fnpLC8,"00:16:41,519","00:16:43,860",of stamps is still a key revenue,True
311,IuVo4fnpLC8,"00:08:25,979","00:08:28,229",you may have noticed FedEx and UPS,True
312,IuVo4fnpLC8,"00:13:38,519","00:13:40,260",help themselves but for all the reasons,True
313,IuVo4fnpLC8,"00:10:50,730","00:10:53,370",definitely funnier in person one of the,True
